merchant_ID,product_ID
2WWIC21,PROD_CeCppb2
2WWIC21,PROD_CeCplb3
2WWIC21,PROD_CeCplb4
2WWIC21,PROD_CeCplb5
2WWIC21,PROD_CeCplb6
2WWIC21,PROD_CeCtb7
2WWIC21,PROD_CeCtb8
2WWIC21,PROD_CeBmjb9
2WWIC21,PROD_CeBjb10
2WWIC21,PROD_CeGmjb11
2WWIC21,PROD_CeGjb12
2WWIC21,PROD_CeGmjb13
2WWIC21,PROD_CeGjb14
2WWIC21,PROD_CeSmjb15
2WWIC21,PROD_CeSjb16
2WWIC21,PROD_CeRmjb17
2WWIC21,PROD_CeMmjb18
2WWIC21,PROD_CeSjb19
2WWIC21,PROD_CeSmjb20
2WWIC21,PROD_CeSmjb21
2WWIC21,PROD_CeSjb22
2WWIC21,PROD_CeSjb23
2WWIC21,PROD_CeSmjb24
2WWIC21,PROD_CeCplb25
2WWIC21,PROD_CeCplb26
2WWIC21,PROD_CeMplb27
2WWIC21,PROD_CeMtb28
2WWIC21,PROD_CeMppb29
2WWIC21,PROD_ShP30
2WWIC21,PROD_ShP31
2WWIC21,PROD_ShM32
2WWIC21,PROD_ShT33
2WWIC21,PROD_TiS34
3HHIT63,2BBlu17
3HHIT63,3BBlu39
3HHIT63,4BBlu90
3HHIT63,5BBlu79
3HHIT63,6BBlu90
3HHIT63,7WWic83
3HHIT63,8WWic71
3HHIT63,9HHan96
3HHIT63,10GGua47
3HHIT63,11WWic5
3HHIT63,12WWic25
3HHIT63,13WWic84
3HHIT63,14WWic17
3HHIT63,15HHom59
3HHIT63,16WWic52
3HHIT63,17KKna69
3HHIT63,18GGyp69
3HHIT63,19KKna89
3HHIT63,20BBri57
3HHIT63,21PPol67
3HHIT63,22BBri90
3HHIT63,23CCel21
3HHIT63,24HHom99
3HHIT63,25KKna13
3HHIT63,26WWic3
3HHIT63,27BB&Q69
3HHIT63,28HHom14
3HHIT63,29WWic29
3HHIT63,30WWic30
3HHIT63,31BB&Q37
3HHIT63,32WWic15
3HHIT63,33WWic52
3HHIT63,34WWic55
4BB&Q17,PROD_CeCppb2
4BB&Q17,PROD_CeCplb3
4BB&Q17,PROD_CeCplb4
4BB&Q17,PROD_CeCplb5
4BB&Q17,PROD_CeCplb6
4BB&Q17,PROD_CeCtb7
4BB&Q17,PROD_CeCtb8
4BB&Q17,PROD_CeBmjb9
4BB&Q17,PROD_CeBjb10
4BB&Q17,PROD_CeGmjb11
4BB&Q17,PROD_CeGjb12
4BB&Q17,PROD_CeGmjb13
4BB&Q17,PROD_CeGjb14
4BB&Q17,PROD_CeSmjb15
4BB&Q17,PROD_CeSjb16
4BB&Q17,PROD_CeRmjb17
4BB&Q17,PROD_CeMmjb18
4BB&Q17,PROD_CeSjb19
4BB&Q17,PROD_CeSmjb20
4BB&Q17,PROD_CeSmjb21
4BB&Q17,PROD_CeSjb22
4BB&Q17,PROD_CeSjb23
4BB&Q17,PROD_CeSmjb24
4BB&Q17,PROD_CeCplb25
4BB&Q17,PROD_CeCplb26
4BB&Q17,PROD_CeMplb27
4BB&Q17,PROD_CeMtb28
4BB&Q17,PROD_CeMppb29
4BB&Q17,PROD_ShP30
4BB&Q17,PROD_ShP31
4BB&Q17,PROD_ShM32
4BB&Q17,PROD_ShT33
4BB&Q17,PROD_TiS34
5HHom8,PROD_CeCppb2
5HHom8,PROD_CeCplb3
5HHom8,PROD_CeCplb4
5HHom8,PROD_CeCplb5
5HHom8,PROD_CeCplb6
5HHom8,PROD_CeCtb7
5HHom8,PROD_CeCtb8
5HHom8,PROD_CeBmjb9
5HHom8,PROD_CeBjb10
5HHom8,PROD_CeGmjb11
5HHom8,PROD_CeGjb12
5HHom8,PROD_CeGmjb13
5HHom8,PROD_CeGjb14
5HHom8,PROD_CeSmjb15
5HHom8,PROD_CeSjb16
5HHom8,PROD_CeRmjb17
5HHom8,PROD_CeMmjb18
5HHom8,PROD_CeSjb19
5HHom8,PROD_CeSmjb20
5HHom8,PROD_CeSmjb21
5HHom8,PROD_CeSjb22
5HHom8,PROD_CeSjb23
5HHom8,PROD_CeSmjb24
5HHom8,PROD_CeCplb25
5HHom8,PROD_CeCplb26
5HHom8,PROD_CeMplb27
5HHom8,PROD_CeMtb28
5HHom8,PROD_CeMppb29
5HHom8,PROD_ShP30
5HHom8,PROD_ShP31
5HHom8,PROD_ShM32
5HHom8,PROD_ShT33
5HHom8,PROD_TiS34
